WSms;WSkts
60.74938;118.0873477
28.29445;55.0000108
51.44444;99.99999136
64.30556;125.0000086
51.44444;99.99999136
48.87222;94.99999568
46.3;90
46.3;90
64.30556;125.0000086
36.01111;69.99999784
60.74938;118.0873477
46.3;90
46.7885;90.94956803
53.02025;103.063121
53.02025;103.063121
50.9901;99.11682505
46.3;90
37.67321;73.23086177
24.10845;46.86307775
43.72778;85.00000432
46.3;90
46.3;90
64.30556;125.0000086
46.3;90
46.3;90
54.01667;105.0000065
38.58333;74.99999352
30.86667;60.00000648
38.58333;74.99999352
15.02757;29.21125918
43.72778;85.00000432
43.72778;85.00000432
36.01111;69.99999784
30.86667;60.00000648
28.29445;55.0000108
54.01667;105.0000065
28.29445;55.0000108
48.87222;94.99999568
56.58889;110.0000022
53.02025;103.063121
48.87222;94.99999568
64.30556;125.0000086
36.01111;69.99999784
60.74938;118.0873477
48.87222;94.99999568
48.87222;94.99999568
43.72778;85.00000432
46.3;90
46.3;90
38.58333;74.99999352
38.58333;74.99999352
38.58333;74.99999352
48.87222;94.99999568
53.02025;103.063121
48.87222;94.99999568
48.87222;94.99999568
43.72778;85.00000432
18.00556;35.00000864
46.3;90
43.72778;85.00000432
54.01667;105.0000065
41.15556;80.00000864
46.3;90
58.87026;114.4346307
51.44444;99.99999136
46.3;90
53.02025;103.063121
50.9901;99.11682505
54.01667;105.0000065
48.87222;94.99999568
54.01667;105.0000065
48.87222;94.99999568
46.3;90
41.15556;80.00000864
56.58889;110.0000022
30.86667;60.00000648
46.3;90
38.58333;74.99999352
51.44444;99.99999136
43.72778;85.00000432
28.29445;55.0000108
51.44444;99.99999136
30.86667;60.00000648
54.01667;105.0000065
32.63041;63.42844276
54.01667;105.0000065
50.9901;99.11682505
51.44444;99.99999136
64.30556;125.0000086
41.15556;80.00000864
54.01667;105.0000065
51.44444;99.99999136
54.01667;105.0000065
53.02025;103.063121
24.10845;46.86307775
53.02025;103.063121
33.43889;65.00000216
38.58333;74.99999352
46.3;90
51.44444;99.99999136
35.2018;68.42682505
51.44444;99.99999136
38.58333;74.99999352
64.30556;125.0000086
51.44444;99.99999136
64.30556;125.0000086
64.30556;125.0000086
46.3;90
51.44444;99.99999136
48.87222;94.99999568
46.3;90
28.29445;55.0000108
46.3;90
46.7885;90.94956803
38.58333;74.99999352
43.72778;85.00000432
30.86667;60.00000648
46.3;90
51.44444;99.99999136
56.58889;110.0000022
46.7885;90.94956803
48.87222;94.99999568
46.3;90
36.01111;69.99999784
46.3;90
53.02025;103.063121
51.44444;99.99999136
46.3;90
46.3;90
54.01667;105.0000065
29.94165;58.20191145
28.29445;55.0000108
44.60794;86.71089849
36.01111;69.99999784
33.43889;65.00000216
46.3;90
60.74938;118.0873477
38.58333;74.99999352
56.58889;110.0000022
51.44444;99.99999136
51.44444;99.99999136
64.30556;125.0000086
56.58889;110.0000022
46.3;90
64.30556;125.0000086
